offer_id,url,rooms,price_month,deposit,latitude,longitude,area_total,floor,floors_total,ceiling_height,building_year,area_living,area_kitchen
2329321574555620688,https://realty.yandex.ru/offer/2329321574555620688/,2.0,109000,0.0,55.806774,37.61178,51.0,9.0,12.0,2.75,1976.0,,
233907260296733402,https://realty.yandex.ru/offer/233907260296733402/,1.0,67500,0.0,55.625427,37.308712,46.0,19.0,21.0,,2015.0,,
2375419723131519206,https://realty.yandex.ru/offer/2375419723131519206/,1.0,67500,0.0,55.873417,37.5812,32.0,20.0,33.0,2.7,2024.0,,
2378280296693775563,https://realty.yandex.ru/offer/2378280296693775563/,2.0,62000,62000.0,55.655678,37.276142,47.8,18.0,25.0,,2023.0,28.0,14.7
2385438003980477880,https://realty.yandex.ru/offer/2385438003980477880/,0.0,89000,0.0,55.673775,37.608902,28.0,11.0,27.0,3.0,2023.0,,
2388167413901228250,https://realty.yandex.ru/offer/2388167413901228250/,1.0,51000,0.0,55.814865,37.357635,28.0,10.0,25.0,2.8,2016.0,,
2389799734254541326,https://realty.yandex.ru/offer/2389799734254541326/,1.0,78500,0.0,55.743202,37.413906,34.0,12.0,16.0,2.64,2005.0,,
2420307503590933993,https://realty.yandex.ru/offer/2420307503590933993/,3.0,136500,0.0,55.77299,37.603165,60.0,5.0,7.0,3.0,1930.0,,
2424914622870683413,https://realty.yandex.ru/offer/2424914622870683413/,1.0,45000,,55.66974,37.910236,32.1,2.0,25.0,2.8,2023.0,13.0,8.5
2452795136615321258,https://realty.yandex.ru/offer/2452795136615321258/,1.0,80000,0.0,55.849148,37.650322,26.0,21.0,53.0,3.0,2024.0,,
2454097187759003433,https://realty.yandex.ru/offer/2454097187759003433/,2.0,89000,0.0,55.782257,37.665092,50.0,9.0,14.0,2.7,1987.0,,
2463491294579670556,https://realty.yandex.ru/offer/2463491294579670556/,2.0,62000,0.0,55.53189,37.37456,48.0,14.0,15.0,,2026.0,,
2508119480006132577,https://realty.yandex.ru/offer/2508119480006132577/,3.0,125000,0.0,55.723877,37.77715,74.0,28.0,33.0,2.7,2021.0,,
2562030494256874490,https://realty.yandex.ru/offer/2562030494256874490/,0.0,58500,0.0,55.659065,37.72637,20.0,22.0,33.0,,2026.0,,
2603370552252288410,https://realty.yandex.ru/offer/2603370552252288410/,2.0,86500,0.0,55.872013,37.581215,58.0,6.0,24.0,2.7,2024.0,,
2629410931592242050,https://realty.yandex.ru/offer/2629410931592242050/,1.0,72000,0.0,55.520927,37.38775,42.0,8.0,15.0,2.7,2025.0,,
2658856275484441689,https://realty.yandex.ru/offer/2658856275484441689/,2.0,100000,0.0,55.596428,37.599827,66.0,16.0,23.0,2.8,2014.0,,
2671577735850455619,https://realty.yandex.ru/offer/2671577735850455619/,2.0,83500,0.0,55.726795,37.52633,38.0,8.0,9.0,2.64,1966.0,,
2682027789749840061,https://realty.yandex.ru/offer/2682027789749840061/,3.0,160000,,55.755756,37.51061,55.0,5.0,25.0,3.0,2017.0,26.0,15.0
2695506258594758142,https://realty.yandex.ru/offer/2695506258594758142/,0.0,78500,0.0,55.651367,37.48286,20.0,12.0,24.0,,1980.0,,
2711774536108393086,https://realty.yandex.ru/offer/2711774536108393086/,1.0,82000,0.0,55.84154,37.495937,34.0,21.0,33.0,2.7,2023.0,,
2732399810152785471,https://realty.yandex.ru/offer/2732399810152785471/,3.0,100000,0.0,55.724617,37.403145,62.0,3.0,9.0,2.48,2017.0,,
2737100975401953053,https://realty.yandex.ru/offer/2737100975401953053/,2.0,84500,0.0,55.58923,37.445625,52.0,12.0,12.0,,2023.0,,
2747694130154299614,https://realty.yandex.ru/offer/2747694130154299614/,2.0,73000,0.0,55.555893,37.5988,59.4,4.0,16.0,,2020.0,,
2756119432248127380,https://realty.yandex.ru/offer/2756119432248127380/,3.0,86500,0.0,55.66697,37.734047,50.0,7.0,25.0,2.7,2023.0,,
2769685553276246460,https://realty.yandex.ru/offer/2769685553276246460/,2.0,80000,0.0,55.700623,37.908024,65.0,15.0,25.0,,2020.0,,
2780828265413958376,https://realty.yandex.ru/offer/2780828265413958376/,0.0,75500,0.0,55.721073,37.68847,26.0,2.0,30.0,3.0,2024.0,,
2794821995710491225,https://realty.yandex.ru/offer/2794821995710491225/,1.0,71000,0.0,55.651524,37.72321,32.0,1.0,6.0,4.6,2021.0,,
2814283354194184805,https://realty.yandex.ru/offer/2814283354194184805/,3.0,123000,0.0,55.589256,37.44425,60.0,10.0,16.0,,2022.0,,
2835447923469945109,https://realty.yandex.ru/offer/2835447923469945109/,2.0,79000,75000.0,55.66697,37.734047,60.0,8.0,25.0,2.7,2023.0,,
2846587697276695296,https://realty.yandex.ru/offer/2846587697276695296/,3.0,790000,790000.0,55.749523,37.53407,190.0,55.0,85.0,3.2,2016.0,150.0,14.0
2869187020538293910,https://realty.yandex.ru/offer/2869187020538293910/,0.0,66500,0.0,55.66175,37.416977,34.0,9.0,25.0,3.0,2018.0,,
2872684770011034166,https://realty.yandex.ru/offer/2872684770011034166/,0.0,87500,0.0,55.694317,37.46168,23.7,31.0,33.0,,,,
287609422574527769,https://realty.yandex.ru/offer/287609422574527769/,0.0,54000,0.0,55.712894,37.36917,21.0,3.0,17.0,,2023.0,,
2917485389342801460,https://realty.yandex.ru/offer/2917485389342801460/,1.0,42000,0.0,55.72004,37.97355,39.0,15.0,22.0,2.7,2018.0,,
2941422537280483888,https://realty.yandex.ru/offer/2941422537280483888/,2.0,77500,0.0,55.6318,37.41927,53.0,11.0,22.0,,2022.0,,
299374376393028007,https://realty.yandex.ru/offer/299374376393028007/,0.0,44000,42000.0,55.70803,37.83041,18.0,8.0,9.0,,2003.0,,
3021602621395050490,https://realty.yandex.ru/offer/3021602621395050490/,2.0,84000,80000.0,55.81372,37.740112,40.0,29.0,29.0,3.0,2023.0,,
3024205653612422274,https://realty.yandex.ru/offer/3024205653612422274/,0.0,34000,0.0,55.949665,37.180737,26.0,14.0,17.0,2.8,2023.0,,
3055438501132838561,https://realty.yandex.ru/offer/3055438501132838561/,2.0,110000,0.0,55.8601,37.649128,48.0,19.0,24.0,,2025.0,,
3057092213975588529,https://realty.yandex.ru/offer/3057092213975588529/,2.0,93500,0.0,55.701347,37.393234,47.0,5.0,14.0,3.0,2023.0,,
3062675244928732610,https://realty.yandex.ru/offer/3062675244928732610/,2.0,81500,0.0,55.60667,37.527184,55.0,10.0,16.0,2.64,1976.0,,
3063514878490944227,https://realty.yandex.ru/offer/3063514878490944227/,1.0,69000,0.0,55.712894,37.36917,26.3,10.0,17.0,,2023.0,,
3065311649186292827,https://realty.yandex.ru/offer/3065311649186292827/,2.0,78750,75000.0,55.862045,37.468983,46.9,8.0,12.0,2.64,1965.0,31.2,10.4
3087901823670675896,https://realty.yandex.ru/offer/3087901823670675896/,1.0,43000,0.0,55.72402,37.981937,36.0,18.0,22.0,,2024.0,,
3097563541188843844,https://realty.yandex.ru/offer/3097563541188843844/,2.0,205000,0.0,55.806644,37.542957,94.0,10.0,34.0,3.0,2008.0,,
3098192006896213131,https://realty.yandex.ru/offer/3098192006896213131/,3.0,79000,75000.0,55.670784,37.85543,55.0,30.0,30.0,2.8,2018.0,,
3101159838102006336,https://realty.yandex.ru/offer/3101159838102006336/,1.0,68500,0.0,55.614456,37.412556,42.0,2.0,25.0,,2020.0,,
3135742622022906101,https://realty.yandex.ru/offer/3135742622022906101/,3.0,147500,0.0,55.75563,37.70596,75.0,20.0,22.0,,2022.0,,
3144637048259290191,https://realty.yandex.ru/offer/3144637048259290191/,1.0,81000,0.0,55.68671,37.676933,43.0,12.0,21.0,2.78,2006.0,,
315949895593045634,https://realty.yandex.ru/offer/315949895593045634/,2.0,70000,0.0,55.802437,37.704655,30.0,3.0,15.0,,1974.0,,
3161327199016576513,https://realty.yandex.ru/offer/3161327199016576513/,2.0,180000,180000.0,55.75169,37.51631,57.0,3.0,20.0,3.0,2020.0,30.0,22.0
3179410599088578084,https://realty.yandex.ru/offer/3179410599088578084/,0.0,60500,0.0,55.662643,37.73205,20.0,7.0,33.0,,,,
3190274308972681598,https://realty.yandex.ru/offer/3190274308972681598/,2.0,73500,0.0,55.659573,37.583157,37.0,4.0,9.0,2.5,1964.0,,
3208405423927408375,https://realty.yandex.ru/offer/3208405423927408375/,2.0,122500,0.0,55.76479,37.51141,42.0,11.0,42.0,3.2,2023.0,,
3215409162537787096,https://realty.yandex.ru/offer/3215409162537787096/,2.0,70000,0.0,55.597942,37.60886,44.0,4.0,9.0,,1971.0,,
3225088619541348793,https://realty.yandex.ru/offer/3225088619541348793/,3.0,81000,0.0,55.64877,37.381756,74.0,4.0,17.0,2.64,1996.0,,
3267195726745216887,https://realty.yandex.ru/offer/3267195726745216887/,1.0,73000,0.0,55.606426,37.41061,42.0,2.0,16.0,2.7,2021.0,,
3308787451955440585,https://realty.yandex.ru/offer/3308787451955440585/,1.0,56500,0.0,55.64192,37.34939,38.0,3.0,14.0,2.64,1989.0,,
3309925851868541671,https://realty.yandex.ru/offer/3309925851868541671/,0.0,55000,0.0,55.882454,37.681786,17.0,5.0,22.0,2.7,2020.0,,
3314507518550659987,https://realty.yandex.ru/offer/3314507518550659987/,2.0,105000,0.0,55.767895,37.50217,38.0,6.0,27.0,3.0,2023.0,,
3315767312486681746,https://realty.yandex.ru/offer/3315767312486681746/,1.0,80500,0.0,55.593807,37.432583,48.0,14.0,18.0,,,,
3340785743858954514,https://realty.yandex.ru/offer/3340785743858954514/,2.0,147500,0.0,55.76249,37.513275,60.0,26.0,35.0,,,,
3352031592330377320,https://realty.yandex.ru/offer/3352031592330377320/,2.0,115500,0.0,55.768047,37.49966,56.0,9.0,36.0,3.0,2021.0,,
3383663901664723445,https://realty.yandex.ru/offer/3383663901664723445/,3.0,82500,0.0,55.79773,37.78394,80.0,1.0,5.0,,1956.0,,
3385668570301746459,https://realty.yandex.ru/offer/3385668570301746459/,0.0,69500,66000.0,55.811073,37.514652,25.0,9.0,14.0,,2006.0,,
3412790294323337255,https://realty.yandex.ru/offer/3412790294323337255/,0.0,66500,0.0,55.71885,37.72455,23.0,11.0,17.0,,2024.0,,
3431944165882903210,https://realty.yandex.ru/offer/3431944165882903210/,1.0,205000,0.0,55.768074,37.50396,59.0,6.0,21.0,3.1,2025.0,,
345462521833690546,https://realty.yandex.ru/offer/345462521833690546/,2.0,79500,0.0,55.87278,37.60727,47.0,1.0,9.0,2.64,1975.0,,
3459284921824846366,https://realty.yandex.ru/offer/3459284921824846366/,0.0,39500,0.0,55.50917,37.345467,21.0,10.0,12.0,,2021.0,,
3469699611026410706,https://realty.yandex.ru/offer/3469699611026410706/,2.0,57500,0.0,55.568417,37.28525,36.0,6.0,9.0,,2022.0,,
3470917298481724824,https://realty.yandex.ru/offer/3470917298481724824/,1.0,30000,,55.70031,37.95765,26.0,7.0,17.0,,2019.0,20.0,5.0
3470917318952699756,https://realty.yandex.ru/offer/3470917318952699756/,0.0,130000,,55.783108,37.50952,29.0,6.0,20.0,3.0,2023.0,,
3479233499644561865,https://realty.yandex.ru/offer/3479233499644561865/,0.0,54500,0.0,55.798172,37.37631,28.0,22.0,33.0,2.8,2019.0,,
3480937099605140676,https://realty.yandex.ru/offer/3480937099605140676/,1.0,115500,0.0,55.69835,37.467697,45.0,12.0,29.0,3.0,2022.0,,
3504528321629231870,https://realty.yandex.ru/offer/3504528321629231870/,2.0,80500,0.0,55.858746,37.427254,45.0,8.0,9.0,2.64,1968.0,,
3517946589852377033,https://realty.yandex.ru/offer/3517946589852377033/,1.0,42000,0.0,55.629684,37.650883,31.0,4.0,5.0,2.64,1964.0,,
3519033216595117302,https://realty.yandex.ru/offer/3519033216595117302/,0.0,70000,0.0,55.72141,37.69412,25.0,8.0,30.0,3.0,2021.0,,
3544356120762462789,https://realty.yandex.ru/offer/3544356120762462789/,1.0,93500,0.0,55.701157,37.64966,40.0,14.0,24.0,,,,
3545470738769517864,https://realty.yandex.ru/offer/3545470738769517864/,1.0,80000,0.0,55.80502,37.75359,33.1,13.0,33.0,,,,
3549792483353116459,https://realty.yandex.ru/offer/3549792483353116459/,0.0,61000,0.0,55.662643,37.73205,20.0,17.0,33.0,,,,
3603959100218272010,https://realty.yandex.ru/offer/3603959100218272010/,0.0,52000,0.0,55.664036,37.85362,23.0,21.0,25.0,2.6,2025.0,,
3614510164367287902,https://realty.yandex.ru/offer/3614510164367287902/,1.0,81500,0.0,55.779503,37.724148,39.8,3.0,9.0,,1965.0,,
3616113449164689189,https://realty.yandex.ru/offer/3616113449164689189/,0.0,62000,0.0,55.809135,37.75795,18.0,7.0,39.0,3.0,2020.0,,
3620695020898308792,https://realty.yandex.ru/offer/3620695020898308792/,2.0,72000,0.0,55.681534,37.652615,42.0,2.0,9.0,2.64,1968.0,,
